unix,date,symbol,Open,High,Low,Close,Volume USD,Volume ETH
1637896920,2021-11-26 03:22:00,ETH/USD,4468.34,4468.34,4468.34,4468.34,0.35192711,1572.5299826974
1637896860,2021-11-26 03:21:00,ETH/USD,4466.08,4466.08,4466.08,4466.08,1.92154565,8581.776596552
1637896800,2021-11-26 03:20:00,ETH/USD,4472.06,4472.06,4468.76,4468.76,0.23761163,1061.8293476788
1637896740,2021-11-26 03:19:00,ETH/USD,4467.47,4468.93,4467.47,4468.89,4.86770245,21753.2268017805
1637896680,2021-11-26 03:18:00,ETH/USD,4465.2,4467.35,4465.2,4467.35,9.26284833,41380.3854870255
1637896620,2021-11-26 03:17:00,ETH/USD,4459.35,4459.35,4459.35,4459.35,1.12923326,5035.646337981
1637896560,2021-11-26 03:16:00,ETH/USD,4462.99,4462.99,4462.27,4462.27,0.2572506,1147.921634862
1637896500,2021-11-26 03:15:00,ETH/USD,4465.41,4465.41,4465.41,4465.41,0,0
1637896440,2021-11-26 03:14:00,ETH/USD,4465.41,4465.41,4465.41,4465.41,3.55259453,15863.7911402073
1637896380,2021-11-26 03:13:00,ETH/USD,4460.96,4460.96,4460.91,4460.91,2.53822239,11322.7816417749
1637896320,2021-11-26 03:12:00,ETH/USD,4462.19,4462.19,4462.19,4462.19,0.2,892.438
1637896260,2021-11-26 03:11:00,ETH/USD,4457.34,4457.34,4456.53,4456.53,3.3583321,14966.507753613
1637896200,2021-11-26 03:10:00,ETH/USD,4456.85,4458.23,4456.38,4458.23,18.47920061,82384.5265355203
1637896140,2021-11-26 03:09:00,ETH/USD,4456.34,4456.34,4452.35,4452.35,0.043532,193.8197002
1637896080,2021-11-26 03:08:00,ETH/USD,4456.64,4456.64,4454.43,4454.43,2.80049407,12474.6048002301
1637896020,2021-11-26 03:07:00,ETH/USD,4456.56,4456.56,4456.56,4456.56,0,0
1637895960,2021-11-26 03:06:00,ETH/USD,4450.63,4456.56,4450.63,4456.56,2.01348077,8973.1978603512
1637895900,2021-11-26 03:05:00,ETH/USD,4445.53,4451.29,4445.53,4451.29,2.33641315,10400.0524904635
1637895840,2021-11-26 03:04:00,ETH/USD,4448.3,4448.3,4445.55,4445.55,22.15472758,98489.949193269
1637895780,2021-11-26 03:03:00,ETH/USD,4452.99,4452.99,4449.16,4449.16,25.37549604,112899.641961326
1637895720,2021-11-26 03:02:00,ETH/USD,4452.52,4453.56,4452.52,4453.56,4.01269578,17870.7814179768
1637895660,2021-11-26 03:01:00,ETH/USD,4452.8,4452.8,4450.81,4452.2,3.0445167,13554.79725174
1637895600,2021-11-26 03:00:00,ETH/USD,4462.28,4462.28,4452.8,4456.81,7.78500714,34696.2976716234
1637895540,2021-11-26 02:59:00,ETH/USD,4457.98,4463.63,4456.53,4463.63,0.41186587,1838.4168533081
1637895480,2021-11-26 02:58:00,ETH/USD,4468.57,4468.78,4462.93,4462.93,3.28913129,14679.1627080797
